"","Month","pop.total","pop.total.on.land","pop.total.in.stream","pop.total.on.pasture","pop.total.in.forest","pop.total.on.RAOCUT","bac.total.in.stream","Accum.Pasture","Accum.Forest","Accum.RAOCUT","SQLIM.factor","MUTSIN.Start.Year","MUTSIN.End.Year","SUP.ACCUM.pastrure.line","SUP.SQLIM.pastrure.line","SUP.ACCUM.forest.line","SUP.SQLIM.forest.line","SUP.ACCUM.RAOCUT.line","SUP.SQLIM.RAOCUT.line"
"1","Jan",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"2","Feb",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"3","Mar",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"4","Apr",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"5","May",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"6","Jun",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"7","Jul",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"8","Aug",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"9","Sep",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"10","Oct",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"11","Nov",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
"12","Dec",0,0,0,0,0,0,0,NA,NA,NA,9,1995,2010,25,77,24,76,26,78
